,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
63,2021-10-04,888.4732712912341,774.8590666192238,998.5811646000826,888.4732712912341,888.4732712912341,-3.647595290444067,-3.647595290444067,-3.647595290444067,-3.647595290444067,-3.647595290444067,-3.647595290444067,0.0,0.0,0.0,884.82567600079
64,2021-10-05,891.7660068810791,768.4593179359517,997.0777778216041,891.7660068810791,891.7660068810791,-8.939251645285271,-8.939251645285271,-8.939251645285271,-8.939251645285271,-8.939251645285271,-8.939251645285271,0.0,0.0,0.0,882.8267552357938
65,2021-10-06,895.0587427187113,782.4808649936735,994.3664782333171,895.0587427187113,895.0587427187113,-6.8634971683861785,-6.8634971683861785,-6.8634971683861785,-6.8634971683861785,-6.8634971683861785,-6.8634971683861785,0.0,0.0,0.0,888.1952455503251
66,2021-10-07,898.3514785563435,778.9340982021121,989.5500882314498,898.3514785563435,898.3514785563435,-15.31679530035272,-15.31679530035272,-15.31679530035272,-15.31679530035272,-15.31679530035272,-15.31679530035272,0.0,0.0,0.0,883.0346832559908
67,2021-10-08,901.6442143939757,771.2023149517372,993.5854933113109,901.6442143939757,901.6442143939757,-19.72381236565821,-19.72381236565821,-19.72381236565821,-19.72381236565821,-19.72381236565821,-19.72381236565821,0.0,0.0,0.0,881.9204020283175
68,2021-10-11,911.5224219068721,797.2424538217832,1020.7405375469514,911.5224219068721,911.5224219068721,-3.6475952903598596,-3.6475952903598596,-3.6475952903598596,-3.6475952903598596,-3.6475952903598596,-3.6475952903598596,0.0,0.0,0.0,907.8748266165122
69,2021-10-12,914.8151577445042,790.9090776566135,1010.6749356054147,914.8151577445042,914.8151577445042,-8.939251645271192,-8.939251645271192,-8.939251645271192,-8.939251645271192,-8.939251645271192,-8.939251645271192,0.0,0.0,0.0,905.875906099233
70,2021-10-13,918.1078935821365,790.7042860039622,1023.2672185719146,918.1078935821365,918.1078935821365,-6.863497168414807,-6.863497168414807,-6.863497168414807,-6.863497168414807,-6.863497168414807,-6.863497168414807,0.0,0.0,0.0,911.2443964137217
71,2021-10-14,921.4006294197685,800.5387385238208,1014.3899655181488,921.4006294197685,921.4006294197685,-15.316795300294661,-15.316795300294661,-15.316795300294661,-15.316795300294661,-15.316795300294661,-15.316795300294661,0.0,0.0,0.0,906.0838341194739
72,2021-10-15,924.6933652574007,792.319121420162,1013.3598889898404,924.6933652574007,924.6933652574007,-19.723812365628945,-19.723812365628945,-19.723812365628945,-19.723812365628945,-19.723812365628945,-19.723812365628945,0.0,0.0,0.0,904.9695528917717
73,2021-10-18,934.5715725650733,820.7857428409873,1050.99301958772,934.5715725650733,934.5715725650733,-3.6475952903873683,-3.6475952903873683,-3.6475952903873683,-3.6475952903873683,-3.6475952903873683,-3.6475952903873683,0.0,0.0,0.0,930.923977274686
74,2021-10-19,937.8643083342976,820.2175193420594,1039.6734928107371,937.8643083342976,937.8643083342976,-8.939251645327317,-8.939251645327317,-8.939251645327317,-8.939251645327317,-8.939251645327317,-8.939251645327317,0.0,0.0,0.0,928.9250566889702
75,2021-10-20,941.1570441035218,816.3901081129951,1041.6238808131907,941.1570441035218,941.1570441035218,-6.863497168402684,-6.863497168402684,-6.863497168402684,-6.863497168402684,-6.863497168402684,-6.863497168402684,0.0,0.0,0.0,934.2935469351191
76,2021-10-21,944.449779872746,817.4523801056773,1040.0657146371118,944.449779872746,944.449779872746,-15.316795300305373,-15.316795300305373,-15.316795300305373,-15.316795300305373,-15.316795300305373,-15.316795300305373,0.0,0.0,0.0,929.1329845724407
77,2021-10-22,947.7425156419703,817.32814320779,1036.8125371893357,947.7425156419703,947.7425156419703,-19.72381236561232,-19.72381236561232,-19.72381236561232,-19.72381236561232,-19.72381236561232,-19.72381236561232,0.0,0.0,0.0,928.018703276358
78,2021-10-25,957.620722949643,848.8738929779566,1069.2663812163337,957.620722949643,957.620722949643,-3.647595290414876,-3.647595290414876,-3.647595290414876,-3.647595290414876,-3.647595290414876,-3.647595290414876,0.0,0.0,0.0,953.9731276592281
79,2021-10-26,960.9134587188672,844.5561619338864,1067.8572671297554,960.9134587188672,960.9134587188672,-8.93925164528432,-8.93925164528432,-8.93925164528432,-8.93925164528432,-8.93925164528432,-8.93925164528432,0.0,0.0,0.0,951.9742070735829
80,2021-10-27,964.2061944880915,845.6055259574498,1067.9294584876927,964.2061944880915,964.2061944880915,-6.86349716839056,-6.86349716839056,-6.86349716839056,-6.86349716839056,-6.86349716839056,-6.86349716839056,0.0,0.0,0.0,957.3426973197008
81,2021-10-28,967.4989297192164,833.6961687590377,1067.982511410446,967.4989297192164,967.4989297192164,-15.31679530031608,-15.31679530031608,-15.31679530031608,-15.31679530031608,-15.31679530031608,-15.31679530031608,0.0,0.0,0.0,952.1821344189003
82,2021-10-29,970.7916649503413,839.2655915521232,1064.1778975700142,970.7916649503413,970.7916649503413,-19.723812365589374,-19.723812365589374,-19.723812365589374,-19.723812365589374,-19.723812365589374,-19.723812365589374,0.0,0.0,0.0,951.0678525847519
83,2021-11-01,980.669870643716,860.7677907289901,1081.209888795349,980.669870643716,980.669870643716,-3.6475952904423843,-3.6475952904423843,-3.6475952904423843,-3.6475952904423843,-3.6475952904423843,-3.6475952904423843,0.0,0.0,0.0,977.0222753532736
84,2021-11-02,983.9626058748411,861.5310876966016,1084.7755634781888,983.9626058748411,983.9626058748411,-8.939251645299159,-8.939251645299159,-8.939251645299159,-8.939251645299159,-8.939251645299159,-8.939251645299159,0.0,0.0,0.0,975.023354229542
85,2021-11-03,987.255341105966,868.0485979523827,1092.9450390192833,987.255341105966,987.255341105966,-6.86349716839881,-6.86349716839881,-6.86349716839881,-6.86349716839881,-6.86349716839881,-6.86349716839881,0.0,0.0,0.0,980.3918439375672
86,2021-11-04,990.548076337091,869.2455205578962,1086.2214206870824,990.548076337091,990.548076337091,-15.31679530025803,-15.31679530025803,-15.31679530025803,-15.31679530025803,-15.31679530025803,-15.31679530025803,0.0,0.0,0.0,975.2312810368329
87,2021-11-05,993.8408115682158,860.6777914049501,1086.6574778868235,993.8408115682158,993.8408115682158,-19.72381236556643,-19.72381236556643,-19.72381236556643,-19.72381236556643,-19.72381236556643,-19.72381236556643,0.0,0.0,0.0,974.1169992026494
88,2021-11-08,1003.7190172615905,894.5215665072296,1113.2892764390854,1003.7190172615905,1003.7190172615905,-3.6475952904381606,-3.6475952904381606,-3.6475952904381606,-3.6475952904381606,-3.6475952904381606,-3.6475952904381606,0.0,0.0,0.0,1000.0714219711523
89,2021-11-09,1006.0203015158073,879.9555449178447,1111.1108415539338,1006.0203015158073,1006.0203015158073,-8.939251645285077,-8.939251645285077,-8.939251645285077,-8.939251645285077,-8.939251645285077,-8.939251645285077,0.0,0.0,0.0,997.0810498705223
90,2021-11-10,1008.3215857700244,883.2025404573664,1111.0823440021707,1008.3215857700244,1008.3215857700244,-6.863497168366785,-6.863497168366785,-6.863497168366785,-6.863497168366785,-6.863497168366785,-6.863497168366785,0.0,0.0,0.0,1001.4580886016577
91,2021-11-11,1010.6228700242413,886.4762672838718,1111.791460767391,1010.6228700242413,1010.6228700242413,-15.316795300276539,-15.316795300276539,-15.316795300276539,-15.316795300276539,-15.316795300276539,-15.316795300276539,0.0,0.0,0.0,995.3060747239647
92,2021-11-12,1012.9241542784582,885.5916358512208,1107.1691317035893,1012.9241542784582,1012.9241542784582,-19.723812365543488,-19.723812365543488,-19.723812365543488,-19.723812365543488,-19.723812365543488,-19.723812365543488,0.0,0.0,0.0,993.2003419129147
